"","Alosaalosa","Alosafallax","Anguillaanguilla","Argyrosomusregius","Aristaeomorphafoliacea","Aristeusantennatus","Atherinaboyeri","Auxisrocheirochei","Belonebelone","Boopsboops","Caranxcrysos","Chelidonichthyslucerna","Corisjulis","Coryphaenahippurus","Crangoncrangon","Crystallogobiuslinearis","Dentexdentex","Dentexgibbosus","Dentexmaroccanus","Dicentrarchuslabrax","Diplodusannularis","Diploduscervinus","Diploduspuntazzo","Diplodussargussargus","Diplodusvulgaris","Eledonecirrhosa<0.5","Eledonecirrhosa","Engraulisencrasicolus<0.1","Engraulisencrasicolus","Epinephelusaeneus","Epinephelusmarginatus","Etrumeusteres","Eutriglagurnardus","Galeusmelastomus","Gobiusniger","Halobatrachusdidactylus<0.5","Halobatrachusdidactylus","Illexcoindetii<0.1","Illexcoindetii","Lepidorhombuswhiffiagonis","Lizaaurata","Lizaramada","Lizasaliens","Loligovulgaris","Lophiusbudegassa","Lophiuspiscatorius","Merlangiusmerlangus","Merlucciusmerluccius<0.80","Merlucciusmerluccius","Micromesistiuspoutassou","Mugilcephalus","Mullusbarbatusbarbatus","Mullussurmuletus","Mustelusmustelus","Nephropsnorvegicus","Octopusvulgaris<0.5","Octopusvulgaris","Pagellusacarne","Pagelluserythrinus","Pagruspagrus","Palaemonserratus","Palinuruselephas","Parapenaeuslongirostris","Penaeuskerathurus","Phycisphycis","Platichthysflesusflesus","Pleuronectesplatessa","Pomatomussaltatrix","Pomatoschistusmarmoratus","Pomatoschistusminutus","Rhinobatosrhinobatos","Sardasarda","Sardinapilchardus","Sardinellaaurita","Sauridaundosquamis","Sciaenaumbra","Scomberjaponicus","Scomberscombrus","Scophthalmusmaximus","Scorpaenanotata","Scyliorhinuscanicula","Sepiaofficinalis<0.3","Sepiaofficinalis","Serioladumerili","Serranusatricauda","Soleasolea","Sparusaurata","Sphyraenasphyraena","Sphyraenaviridensis","Spicaramaena","Spicarasmaris","Spondyliosomacantharus","Sprattussprattus","Squillamantis","Stephanolepisdiaspros","Thunnusalalunga","Thunnusthynnus","Trachurusmediterraneus","Trachuruspicturatus","Trachurustrachurus","Trachyrincusscabrus","Triglalyra","Trisopterusluscus","Trisopterusminutus","Upeneusmoluccensis","Xiphiasgladius","Zosterisessorophiocephalus","Zosteuphausiids"
"Alosaalosa",0.8,0.310932733986194,0.280070134424313,0.317264957264957,0.296786389413989,0.335788479697828,0.309565217391304,0.31481909796795,0.352958363769175,0.289334741288279,0.422936487528928,0.315966386554622,0.30356394129979,0.191611842105263,0.342435424354244,0.345920190589637,0.302931596091205,0.301692183722804,0.229003783102144,0.338095238095238,0.29,0.29685534591195,0.295004541326067,0.342150803461063,0.312334352701325,0.300963172804533,0.300963172804533,0.303357903357903,0.303357903357903,0.257303370786517,0.287634749524413,0.547878787878788,0.315977291159773,0.205350686912509,0.367710049423394,0,0,0.312112676056338,0.312112676056338,0.288066701406983,0.310932733986194,0.304628002343292,0.306546854942234,0.304975922953451,0.15263765883712,0.145010615711253,0.316058394160584,0.632421052631579,0.632421052631579,0.728480204342273,0.346620450606586,0.291355498721228,0.289669421487603,0.287461010605115,0.354627949183303,0.310162254483348,0.310162254483348,0.325206839492554,0.31353919239905,0.351529987760098,0.399054373522459,0,0.289342403628118,0.370057581573896,0.455474452554745,0.358620689655172,0.342268041237113,0.30258064516129,0.334857142857143,0.280679062247373,0.305844155844156,0.326082365364308,0.309199931471646,0.302912621359223,0.149152542372881,0.329792147806005,0.318605082544982,0.308219178082192,0.329199549041714,0.340983606557377,0.309936189608022,0.338566552901024,0.169283276450512,0.155566265060241,0.738348623853211,0.291494715651736,0.337649880095923,0.309935483870968,0.582278481012658,0.297956493078444,0.310896817743491,0.296438356164384,0.382508630609896,0.31219512195122,0.170277078085642,0.164676513417932,0.164314303770803,0.302943516308671,0.319739696312364,0.31437448896157,0,0.305718866916088,0.63696682464455,0.573070017953321,0.135089820359281,0.324766355140187,0.377546777546778,0.310932733986194
"Alosafallax",0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.8,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"Anguillaanguilla",0.197934737711689,0.219746347728367,0.8,0.5,0.0525992438563327,0.0290368271954674,0.763726708074534,0.203667602841566,0.777794010226443,0.722703273495248,0.196245821547956,0.498854087089381,0.792732354996506,0.210131578947368,0.8,0.684216795711733,0.5,0.1,0.0861916771752837,0.8,0.792857142857143,0.8,0.8,0.8,0.8,0.0915014164305949,0.0915014164305949,0.8,0.8,0.8,0.798478123018389,0.8,0.5,0.0559652928416486,0.8,0,0,0.0719014084507042,0.0719014084507042,0.0891610213652944,0.219746347728367,0.748916227299356,0.777406931964057,0.5,0.263534847901425,0.363269639065817,0.1,0.076,0.076,0.0204342273307791,0.8,0.0875191815856778,0.70702479338843,0.788022457891454,0.0657894736842105,0.8,0.8,0.716161059018202,0.8,0.5,0.8,0,0.0969954648526077,0.8,0.727980535279805,0.8,0.8,0.8,0.796571428571429,0.798706548100243,0.8,0.8,0.181326023642282,0.8,0.496468926553672,0.79445727482679,0.129549248747913,0.8,0.8,0.8,0.466727438468551,0.8,0.4,0.109686746987952,0.629724770642202,0.68887770508304,0.8,0.217677419354839,0.39746835443038,0.788398154251813,0.136933461909354,0.8,0.34614499424626,0.667317073170732,0.797984886649874,0.0484293738298315,0.0208131451443017,0.8,0.429067245119306,0.208928863450531,0,0.0838054516301443,0.8,0.5,0.775089820359281,0.0962616822429907,0.8,0.219746347728367
"Argyrosomusregius",0.15332507228418,0.150264890030503,0.341905318527177,0.8,0.0328449905482042,0.0351746931067044,0.0725465838509317,0.13256236576904,0.0758948137326516,0.494192185850053,0.129802005656981,0.698548510313216,0.647938504542278,0.140394736842105,0.8,0.438356164383562,0.747882736156352,0.741982272360999,0.445901639344262,0.8,0.557142857142857,0.725786163522013,0.765849227974569,0.8,0.787767584097859,0.489518413597734,0.489518413597734,0.748239148239148,0.748239148239148,0.735955056179775,0.593532022828155,0.8,0.732522303325223,0.0182212581344902,0.5,0,0,0.169014084507042,0.169014084507042,0.487754038561751,0.150264890030503,0.342413591095489,0.374839537869063,0.740288924558588,0.180207932229496,0.248407643312102,0.775182481751825,0.518736842105263,0.518736842105263,0.101149425287356,0.5,0.478772378516624,0.483471074380165,0.583905177791641,0.361524500907441,0.761742100768574,0.761742100768574,0.506122448979592,0.734758511480602,0.8,0.776359338061466,0,0.0663265306122449,0.8,0.560583941605839,0.8,0.8,0.741935483870968,0.795428571428571,0.682942603071948,0.744155844155844,0.8,0.107452458454686,0.743042071197411,0.564971751412429,0.787066974595843,0.0492672973474309,0.760958904109589,0.799098083427283,0.79344262295082,0.35587967183227,0.69419795221843,0.347098976109215,0.0749236947791165,0.519633027522936,0.471061902365375,0.8,0.147870967741936,0.764556962025317,0.617007251153593,0.149533911925426,0.640547945205479,0.254315304948216,0.456585365853658,0.702267002518892,0.0193051799459122,0.00969033073520118,0.733810660302307,0.194360086767896,0.138152085036795,0,0.439123463388562,0.8,0.722441651705566,0.505868263473054,0.0238317757009346,0.5,0.150264890030503
"Aristaeomorphafoliacea",0.0518793886823627,0.0339701396692888,0.0650496785505552,0.0594017094017094,0.1,0.0676109537299339,0.0636024844720497,0.0169502725921031,0.068663257852447,0.0684266103484688,0.039907431216251,0.061038961038961,0.0612159329140461,0.0164555921052632,0.0639606396063961,0.0723645026801668,0.0594462540716612,0.0298146655922643,0.0697982345523329,0.063452380952381,0.0644642857142857,0.0583333333333333,0.0553133514986376,0.0637824474660074,0.0569826707441386,0.0698583569405099,0.0698583569405099,0.0593775593775594,0.0593775593775594,0.0676966292134832,0.0623969562460368,0.0709090909090909,0.0597729115977291,0.0809110629067245,0.0609555189456343,0,0,0.0785211267605634,0.0785211267605634,0.0688379364252215,0.0339701396692888,0.0644405389572349,0.0625802310654685,0.0596308186195827,0.0350596842510589,0.0341295116772824,0.181751824817518,0.260210526315789,0.260210526315789,0.140740740740741,0.061525129982669,0.208235294117647,0.207334710743802,0.0633811603243918,0.0785390199637024,0.178821520068318,0.178821520068318,0.0698290126861555,0.0601741884402217,0.0636474908200734,0.0631205673758865,0,0.0660997732426304,0.0656429942418426,0.0766423357664234,0.0620689655172414,0.0637886597938144,0.0595161290322581,0.0547142857142857,0.0565076798706548,0.0596590909090909,0.0613516367476241,0.033064930615042,0.0594660194174757,0.0399717514124294,0.05635103926097,0.0304581710257837,0.0594178082191781,0.0600901916572717,0.0605386416861827,0.0717411121239745,0.0627133105802048,0.0313566552901024,0.0169638554216867,0.0930275229357798,0.0699043784599899,0.0634292565947242,0.0338225806451613,0.0740506329113924,0.0620962425840475,0.0338958534233365,0.0616438356164384,0.0508055235903337,0.0705365853658537,0.0430730478589421,0.00264614104431038,0.0025700442384664,0.0597454256165473,0.0755422993492408,0.0339165985282093,0,0.0357028327097809,0.0829383886255924,0.0732495511669659,0.0508982035928144,0.0298286604361371,0.0642411642411642,0.135880558677155
"Aristeusantennatus",0.293762907889302,0.272017980414192,0.0359438924605494,0.0636752136752137,0.541398865784499,0.8,0.0319254658385093,0.139302825045432,0.0594594594594595,0.0842661034846885,0.183337618925174,0.146065699006875,0.125087351502446,0.170394736842105,0.0297662976629766,0.397855866587254,0.0214983713355049,0.0934730056406124,0.253783102143758,0.0288095238095238,0.0347619047619048,0.0161163522012579,0.0147138964577657,0.0149567367119901,0.0132517838939857,0.343116147308782,0.343116147308782,0.0819000819000819,0.0819000819000819,0.0404494382022472,0.061001902346227,0.0684848484848485,0.110948905109489,0.708026030368764,0.0199341021416804,0,0,0.568450704225352,0.568450704225352,0.343095362167796,0.034002247551774,0.035676625659051,0.0296534017971759,0.0963081861958267,0.231189834424336,0.167303609341826,0.0561131386861314,0.372210526315789,0.372210526315789,0.334440187313751,0.0202772963604853,0.35150895140665,0.0867768595041322,0.0632563942607611,0.462068965517241,0.051665243381725,0.051665243381725,0.0405405405405405,0.0152810768012668,0.0740514075887393,0.0143026004728132,0,0.302947845804989,0.0232245681381958,0.0356853203568532,0.0208620689655172,0.0779639175257732,0.0232258064516129,0.036,0.0465642683912692,0.0551948051948052,0.0247096092925026,0.0361658386157273,0.0906148867313916,0.359322033898305,0.0163972286374134,0.196067519940642,0.0500856164383562,0.0140924464487035,0.0142857142857143,0.498085688240656,0.0193686006825939,0.00968430034129693,0.0170120481927711,0.0554128440366973,0.0448414695520886,0.0290167865707434,0.0341129032258064,0.0765822784810127,0.027686222808174,0.0340405014464802,0.0249315068493151,0.0500575373993095,0.369170731707317,0.0280856423173804,0.186394840857083,0.0182431009058353,0.0256165473349244,0.635574837310195,0.173098937040065,0,0.392517370390166,0.143364928909953,0.211131059245961,0.0495808383233533,0.323520249221184,0.0251559251559252,0.272017980414192
"Atherinaboyeri",0.205865344898802,0.206774763204367,0.71864406779661,0.499145299145299,0.0483931947069943,0.0242681775259679,0.8,0.190583181893276,0.795325054784514,0.420010559662091,0.179377732064798,0.0996180290297937,0.775401816911251,0.1975,0.798031980319803,0.632281119714116,0.199674267100977,0.199677679290894,0.155359394703657,0.798095238095238,0.733333333333333,0.498427672955975,0.497729336966394,0.798022249690977,0.797553516819572,0.168725212464589,0.168725212464589,0.8,0.8,0.199157303370787,0.476220672162334,0.8,0.0998377939983779,0.0971800433839479,0.797364085667216,0,0,0.0645774647887324,0.129154929577465,0.0830119854090672,0.206774763204367,0.753134153485647,0.796919127086008,0.1,0.0309973045822102,0.0421974522292994,0.19963503649635,0.156210526315789,0.156210526315789,0.043593018305662,0.8,0.163478260869565,0.412190082644628,0.470991890205864,0.0626134301270417,0.798633646456021,0.798633646456021,0.170104798676227,0.199366587490103,0.498776009791922,0.798108747044917,0,0.0885487528344671,0.498080614203455,0.0917274939172749,0.797241379310345,0.797938144329897,0.5,0.796571428571429,0.776071139854487,0.798701298701299,0.8,0.104848381017646,0.8,0.0926553672316384,0.495958429561201,0.0716008161751067,0.8,0.798196166854566,0.498829039812646,0.0805834092980857,0.798634812286689,0.399317406143345,0.103196787148594,0.407339449541284,0.402868646200302,0.498800959232614,0.127903225806452,0.496835443037975,0.485497692814766,0.0257634201221472,0.493150684931507,0.214470655926352,0.626731707317073,0.78992443324937,0.0369461202413148,0.0158415841584158,0.5,0.385249457700651,0.122322158626329,0,0.0780331373597007,0.497630331753554,0.099640933572711,0.42814371257485,0.0503309968847352,0.796673596673597,0.206774763204367
"Auxisrocheirochei",0.787112763320942,0.777396050730454,0.720514319111631,0.685811965811966,0.0969754253308129,0.0995278564683664,0.716521739130435,0.8,0.705916727538349,0.728194297782471,0.792594497300077,0.702826585179526,0.706079664570231,0.781842105263158,0.649446494464945,0.725670041691483,0.69185667752443,0.433118452860596,0.0909205548549811,0.653333333333333,0.71952380952381,0.69496855345912,0.679382379654859,0.648702101359703,0.667074413863405,0.0907082152974504,0.0907082152974504,0.691891891891892,0.691891891891892,0.717977528089888,0.7142675967026,0.766060606060606,0.699432278994323,0.0991323210412148,0.60494233937397,0,0,0.0985915492957747,0.0985915492957747,0.0910891089108911,0.777396050730454,0.720328060925601,0.713735558408216,0.693418940609952,0.373353869849827,0.363906581740977,0.425182481751825,0.463684210526316,0.463684210526316,0.498722860791826,0.625303292894281,0.456010230179028,0.729338842975207,0.716157205240175,0.0943738656987296,0.687959009393681,0.687959009393681,0.725427468284611,0.694220110847189,0.661933904528764,0.66193853427896,0,0.0903628117913832,0.606525911708253,0.722141119221411,0.608275862068966,0.645360824742268,0.692903225806452,0.616,0.692643492320129,0.692207792207792,0.666525871172122,0.796025355490834,0.693203883495146,0.692655367231638,0.648498845265589,0.797328881469115,0.688356164383562,0.653889515219842,0.647306791569087,0.783956244302644,0.716723549488055,0.358361774744027,0.388690763052209,0.767706422018349,0.730749874182184,0.652278177458034,0.777548387096774,0.79493670886076,0.711404087013843,0.777370620379299,0.707945205479452,0.759723820483314,0.733658536585366,0.657934508816121,0.798668608279592,0.199662945017906,0.694351630867144,0.791323210412147,0.784300899427637,0,0.0927311598075895,0.661611374407583,0.748294434470377,0.715688622754491,0.798442367601246,0.587110187110187,0.777396050730454
"Belonebelone",0.199586947542338,0.175822764488682,0.622326125073057,0.444017094017094,0.0444234404536862,0.0192162417374882,0.676273291925466,0.159656368742772,0.8,0.359556494192186,0.13473900745693,0.0889228418640183,0.690985324947589,0.1675,0.706519065190652,0.579392495533055,0.443403908794788,0.0887993553585818,0.0634300126103405,0.705714285714286,0.637142857142857,0.444575471698113,0.446866485013624,0.706056860321384,0.711926605504587,0.0755240793201133,0.0755240793201133,0.711547911547912,0.711547911547912,0.0794943820224719,0.414711477488903,0.610909090909091,0.0895377128953771,0.0394070860448301,0.698517298187809,0,0,0.0544366197183099,0.0544366197183099,0.0709744658676394,0.175822764488682,0.641593438781488,0.69216944801027,0.0890048154093098,0.026357335386985,0.0361464968152866,0.0891423357664234,0.0757894736842105,0.0757894736842105,0.0209450830140485,0.707105719237435,0.0697186700767263,0.562809917355372,0.408920773549594,0.0562159709618875,0.709820666097353,0.709820666097353,0.0744070601213458,0.0892319873317498,0.444920440636475,0.776359338061466,0,0.0766439909297052,0.430902111324376,0.0872668288726683,0.689655172413793,0.702061855670103,0.444354838709677,0.697142857142857,0.692643492320129,0.711038961038961,0.713833157338965,0.0849751584718177,0.710679611650486,0.0665254237288136,0.441108545034642,0.0588017065479503,0.712328767123288,0.70620067643743,0.445550351288056,0.0697356426618049,0.733105802047782,0.366552901023891,0.087710843373494,0.399082568807339,0.343482637141419,0.441247002398082,0.108709677419355,0.370253164556962,0.423203691496374,0.109450337512054,0.431849315068493,0.182825086306099,0.534243902439024,0.645843828715365,0.0150613688371125,0.0129766168106172,0.444709626093874,0.325813449023861,0.105805396565822,0,0.0680919294494923,0.494075829383886,0.0992818671454219,0.31377245508982,0.0391355140186916,0.673596673596674,0.175822764488682
"Boopsboops",0.226352746798843,0.243249317707497,0.8,0.8,0.0612476370510397,0.0376770538243626,0.494099378881988,0.227853956715678,0.497443389335281,0.8,0.219079454872718,0.8,0.8,0.233552631578947,0.4,0.765693865396069,0.8,0.5,0.0956494325346784,0.8,0.8,0.8,0.8,0.8,0.8,0.0998300283286119,0.0998300283286119,0.8,0.8,0.8,0.8,0.8,0.8,0.0691973969631236,0.8,0,0,0.0847887323943662,0.0847887323943662,0.0986972381448671,0.243249317707497,0.781253661394259,0.793838254172015,0.8,0.291721216788602,0.399787685774947,0.5,0.405789473684211,0.405789473684211,0.121966794380587,0.8,0.484398976982097,0.782644628099174,0.790517779164067,0.0734573502722323,0.8,0.8,0.773965802537231,0.8,0.8,0.8,0,0.05,0.8,0.773398215733982,0.8,0.8,0.8,0.798857142857143,0.8,0.8,0.8,0.206407401062189,0.8,0.798870056497175,0.797228637413395,0.156705620478575,0.8,0.8,0.8,0.8,0.8,0.4,0.12144578313253,0.681100917431193,0.762556618017111,0.8,0.241290322580645,0.8,0.794726433750824,0.242622950819672,0.8,0.381357882623705,0.734829268292683,0.797984886649874,0.0392760557520283,0.0351379818832947,0.8,0.508459869848156,0.232869991823385,0,0.0935863174772849,0.8,0.8,0.792335329341317,0.124766355140187,0.5,0.243249317707497
